date,dem,rep,diff
2/25/2020,35,-57,92
2/26/2020,35,-58,93
2/27/2020,35,-58,93
2/28/2020,35,-58,93
2/29/2020,36,-58,94
03/01/2020,37,-58,95
03/02/2020,37,-57,94
03/03/2020,37,-56,93
03/04/2020,38,-56,94
03/05/2020,39,-56,95
03/06/2020,39,-56,95
03/07/2020,41,-56,97
03/08/2020,43,-54,97
03/09/2020,46,-51,97
03/10/2020,49,-48,97
03/11/2020,52,-44,96
03/12/2020,55,-39,94
3/13/2020,58,-34,92
3/14/2020,61,-29,90
3/15/2020,63,-26,89
3/16/2020,66,-21,87
3/17/2020,68,-16,84
3/18/2020,69,-13,82
3/19/2020,71,-9,80
3/20/2020,73,-4,77
3/21/2020,74,0,74
3/22/2020,76,4,72
3/23/2020,76,6,70
3/24/2020,77,8,69
3/25/2020,77,11,66
3/26/2020,78,13,65
3/27/2020,78,14,64
3/28/2020,78,15,63
3/29/2020,78,13,65
3/30/2020,79,14,65
3/31/2020,79,15,64
04/01/2020,80,18,62
04/02/2020,80,19,61
04/03/2020,81,22,59
04/04/2020,81,22,59
04/05/2020,82,23,59
